,variety,type
0,Cabernet Sauvignon,Red
1,Tinta de Toro,Red
2,Sauvignon Blanc,White
3,Pinot Noir,Red
4,Provence red blend,Red
5,Friulano,White
6,Tannat,Red
7,Chardonnay,White
8,Tempranillo,Red
9,Malbec,Red
10,Rosé,Rose
11,Tempranillo Blend,Red
12,Syrah,Red
13,Mavrud,Red
14,Sangiovese,Red
15,Sparkling Blend,Red
16,Rhône-style White Blend,White
17,Red Blend,Red
18,Mencía,Red
19,Palomino,White
20,Petite Sirah,Red
21,Riesling,White
22,Cabernet Sauvignon-Syrah,Red
23,Portuguese Red,Red
24,Nebbiolo,Red
25,Pinot Gris,White
26,Meritage,Red
27,Baga,Red
28,Glera,White
29,Malbec-Merlot,Red
30,Merlot-Malbec,Red
31,Ugni Blanc-Colombard,White
32,Viognier,White
33,Cabernet Sauvignon-Cabernet Franc,Red
34,Moscato,White
35,Pinot Grigio,White
36,Cabernet Franc,Red
37,White Blend,White
38,Monastrell,Red
39,Gamay,Red
40,Zinfandel,Red
41,Greco,Red
42,Barbera,Red
43,Grenache,Red
44,Rhône-style Red Blend,Red
45,Albariño,Red
46,Malvasia Bianca,White
47,Assyrtiko,White
48,Malagouzia,White
49,Carmenère,Red
50,Bordeaux-style Red Blend,Red
51,Touriga Nacional,Red
52,Agiorgitiko,Red
53,Picpoul,White
54,Godello,White
55,Gewürztraminer,White
56,Merlot,Red
57,Syrah-Grenache,Red
58,G-S-M,Red
59,Mourvèdre,Red
60,Bordeaux-style White Blend,White
61,Petit Verdot,Red
62,Muscat,White
63,Chenin Blanc-Chardonnay,White
64,Cabernet Sauvignon-Merlot,Red
65,Pinot Bianco,White
66,Alvarinho,White
67,Portuguese White,White
68,Garganega,White
69,Sauvignon,Red
70,Gros and Petit Manseng,White
71,Tannat-Cabernet,Red
72,Alicante Bouschet,Red
73,Aragonês,Red
74,Silvaner,White
75,Ugni Blanc,White
76,Grüner Veltliner,White
77,Frappato,Red
78,Lemberger,Red
79,Sylvaner,White
80,Chasselas,White
81,Alsace white blend,White
82,Früburgunder,White
83,Kekfrankos,Red
84,Vermentino,White
85,Sherry,Brown
86,Aglianico,Red
87,Torrontés,White
88,Primitivo,Red
89,Semillon-Sauvignon Blanc,White
90,Portuguese Rosé,Rose
91,Grenache-Syrah,Red
92,Prié Blanc,White
93,Negrette,Red
94,Furmint,White
95,Carignane,Red
96,Pinot Blanc,White
97,Nero d'Avola,Red
98,St. Laurent,Red
99,Blauburgunder,Red
100,Blaufränkisch,Red
101,Scheurebe,White
102,Ribolla Gialla,White
103,Charbono,Red
104,Malbec-Cabernet Sauvignon,Red
105,Pinot Noir-Gamay,Red
106,Pinot Nero,Red
107,Gros Manseng,White
108,Nerello Mascalese,Red
109,Shiraz,Red
110,Negroamaro,Red
111,Champagne Blend,Rose
112,Romorantin,White
113,Syrah-Cabernet Sauvignon,Red
114,Tannat-Merlot,Red
115,Duras,Red
116,Garnacha,Red
117,Tinta Francisca,Red
118,Portuguese Sparkling,Red
119,Chenin Blanc,White
120,Turbiana,White
121,Petite Verdot,Red
122,Posip,White
123,Fumé Blanc,White
124,Roussanne,White
125,Grillo,White
126,Müller-Thurgau,White
127,Pinot Auxerrois,White
128,Port,Red
129,Cabernet Blend,Red
130,Cabernet Franc-Cabernet Sauvignon,Red
131,Castelão,Red
132,Encruzado,White
133,Touriga Nacional-Cabernet Sauvignon,Red
134,Colombard-Sauvignon Blanc,White
135,Moscatel,White
136,Marsanne,White
137,Siria,White
138,Garnacha Blanca,White
139,Merlot-Cabernet Sauvignon,Red
140,Arinto,White
141,Petit Manseng,White
142,Loureiro,White
143,Melon,White
144,Carricante,White
145,Fiano,White
146,Schwartzriesling,White
147,Sangiovese-Syrah,Red
148,Tannat-Cabernet Franc,Red
149,Cabernet Franc-Merlot,Red
150,Sauvignon Blanc-Semillon,White
151,Macabeo,White
152,Alfrocheiro,Red
153,Aligoté,White
154,Verdejo,White
155,Grenache Blanc,White
156,Fernão Pires,White
157,Spätburgunder,Red
158,Ciliegiolo,Red
159,Cabernet Sauvignon-Carmenère,Red
160,Auxerrois,White
161,Sirica,Red
162,Zweigelt,Red
163,Pugnitello,Red
164,Rosado,Rose
165,Rosato,Rose
166,Malvazija,White
167,Kalecik Karasi,Red
168,Muskat Ottonel,White
169,Malbec-Bonarda,Red
170,Tempranillo-Cabernet Sauvignon,Red
171,Rivaner,White
172,Trepat,Rose
173,Baco Noir,Red
174,Trebbiano,White
175,Chardonnay-Viognier,White
176,Syrah-Mourvèdre,Red
177,Graciano,Red
178,Roviello,White
179,Perricone,Red
180,Falanghina,White
181,Vranec,Red
182,Carignan,Red
183,Cabernet-Shiraz,Red
184,Verdelho,White
185,Pedro Ximénez,Red
186,Marsanne-Roussanne,White
187,Malbec Blend,Red
188,Weissburgunder,White
189,Morava,White
190,Ruen,Red
191,Hondarrabi Zuri,White
192,Catarratto,White
193,Chardonnay-Sauvignon Blanc,White
194,Vidal,White
195,Rieslaner,White
196,Dornfelder,Red
197,Tinto Fino,Red
198,Gelber Muskateller,White
199,Roter Veltliner,White
200,Aragonez,Red
201,Vitovska,White
202,Pinot Noir-Syrah,Rose
203,Gamay Noir,Red
204,Grauburgunder,White
205,Cannonau,Red
206,Mauzac,White
207,Austrian Red Blend,Red
208,Sémillon,White
209,Lambrusco di Sorbara,Red
210,Teran,Red
211,Dolcetto,Red
212,Cinsault,Red
213,Assyrtico,White
214,Teroldego,Red
215,Tamjanika,White
216,Boğazkere,Red
217,Kadarka,Red
218,Narince,White
219,Malbec-Petit Verdot,Red
220,Veltliner,White
221,Traminer,White
222,Lambrusco,Red
223,Arneis,White
224,Cabernet Sauvignon-Shiraz,Red
225,Tocai Friulano,White
226,Fer Servadou,Red
227,Muskateller,White
228,Nerello Cappuccio,Red
229,Moscatel Roxo,White
230,Elbling,White
231,Saperavi,Red
232,Antão Vaz,White
233,Pinot Meunier,White
234,Petite Syrah,Red
235,Malvasia,White
236,Malbec-Tannat,Red
237,Kallmet,Red
238,Syrah-Merlot,Red
239,Montepulciano,Red
240,Kerner,White
241,Alvarinho-Chardonnay,White
242,Žilavka,White
243,Vinhão,Red
244,Chardonnay-Semillon,Red
245,Carmenère-Cabernet Sauvignon,Red
246,Merlot-Cabernet Franc,Red
247,Orangetraube,White
248,Cabernet Sauvignon-Sangiovese,Red
249,Okuzgozu,Red
250,Viura,White
251,Garnacha-Syrah,Red
252,Zibibbo,White
253,Feteasca,Rose
254,Xarel-lo,White
255,Prokupac,Red
256,Códega do Larinho,White
257,Touriga Nacional Blend,Red
258,Inzolia,White
259,Cabernet-Syrah,Red
260,Lambrusco Grasparossa,Red
261,Malagousia,White
262,Cabernet Franc-Malbec,Red
263,Feteasca Neagra,Rose
264,Yapincak,White
265,Tempranillo-Shiraz,Red
266,Cabernet Sauvignon Grenache,Red
267,Tinta Roriz,Red
268,Merlot-Syrah,Red
269,Tinta Fina,Red
270,Colombard-Ugni Blanc,White
271,Colombard,White
272,Roditis,White
273,Grenache-Carignan,Red
274,Emir,White
275,Orange Muscat,White
276,Karalahna,Red
277,Trincadeira,Red
278,Refosco,Red
279,Pied de Perdrix,Red
280,Vignoles,Rose
281,Carignan-Grenache,Red
282,Muscat d'Alexandrie,White
283,Bobal,Red
284,Symphony,White
285,Norton,Red
286,Sauvignon Blanc-Sauvignon Gris,White
287,Rkatsiteli,White
288,Roussanne-Viognier,White
289,Pinela,White
290,Blatina,Red
291,Shiraz-Viognier,Red
292,Bonarda,Red
293,Sauvignon Blanc-Chardonnay,White
294,Chambourcin,Rose
295,Traminette,White
296,Grenache Blend,White
297,Jaen,Red
298,Mondeuse,Red
299,Feteascǎ Regalǎ,Red
300,Teroldego Rotaliano,Red
301,Sangiovese-Cabernet Sauvignon,Red
302,Listán Negro,Red
303,Syrah-Petite Sirah,Red
304,Viognier-Chardonnay,White
305,Kuntra,Red
306,Jacquère,White
307,Portuguiser,Red
308,Grecanico,White
309,Verdejo-Viura,White
310,Tinto del Pais,Red
311,Moscato Giallo,White
312,Cabernet Sauvignon-Malbec,Red
313,Mission,Red
314,Neuburger,White
315,Bastardo,Red
316,Bical,White
317,Sacy,White
318,Carineña,Red
319,Garnacha-Tempranillo,Red
320,Pecorino,White
321,Garnacha Blend,Red
322,Cococciola,White
323,Passerina,White
324,Gaglioppo,Red
325,Garnacha Tintorera,Red
326,Prieto Picudo,Red
327,Tempranillo Blanco,White
328,Cesanese d'Affile,Red
329,Muscat Canelli,White
330,Cabernet,Red
331,Malvasia Nera,Red
332,Premsal,White
333,Mansois,Red
334,Welschriesling,White
335,Shiraz-Tempranillo,Red
336,Verdicchio,White
337,Sagrantino,Red
338,Rolle,Red
339,Trousseau Gris,White
340,Counoise,Red
341,Mantonico,Red
342,Cariñena-Garnacha,Red
343,Insolia,White
344,Tokaji,White
345,Austrian white blend,White
346,Shiraz-Grenache,Red
347,Claret,Red
348,Syrah-Tempranillo,Red
349,Uva di Troia,Red
350,Aleatico,Red
351,Piedirosso,Red
352,Viognier-Marsanne,White
353,Pinot Grigio-Sauvignon Blanc,White
354,Pallagrello Nero,Red
355,Chardonnay-Albariño,White
356,Savagnin,White
357,Pinotage,Red
358,Braucol,Red
359,Moschofilero,White
360,Nero di Troia,Red
361,Carignano,Red
362,Susumaniello,Red
363,Baga-Touriga Nacional,Red
364,Vidal Blanc,White
365,Vernaccia,White
366,"Corvina, Rondinella, Molinara",Red
367,Mavrotragano,Red
368,Garnacha-Monastrell,Red
369,Lagrein,Red
370,Cabernet Merlot,Red
371,Monastrell-Syrah,Red
372,Malbec-Tempranillo,Red
373,Syrah-Viognier,Red
374,Verdeca,White
375,Sangiovese Grosso,Red
376,Merlot-Argaman,Red
377,Chenin Blanc-Viognier,White
378,Garnacha-Cabernet,Red
379,Maturana,Red
380,Malvar,White
381,Airen,White
382,Monica,Red
383,Gewürztraminer-Riesling,White
384,Prugnolo Gentile,Red
385,Steen,White
386,Chenin Blanc-Sauvignon Blanc,White
387,Shiraz-Cabernet Sauvignon,Red
388,Picolit,White
389,Prosecco,White
390,White Riesling,White
391,White Port,White
392,Zierfandler,White
393,Petroulianos,Red
394,Mavrodaphne,Red
395,Savatiano,White
396,Tempranillo-Garnacha,Red
397,Vidadillo,Red 
398,Syrah-Cabernet,Red
399,Gelber Traminer,White
400,Grenache-Shiraz,Red
401,Rotgipfler,White
402,Cabernet Sauvignon-Tempranillo,Red
403,Edelzwicker,White
404,Cortese,White
405,Chardonnay Weissburgunder,White
406,Torbato,White
407,Verduzzo,White
408,Debit,White
409,Bovale,Red
410,Tempranillo-Merlot,Red
411,Xinisteri,White
412,Merlot-Cabernet,Red 
413,Verdejo-Sauvignon Blanc,White
414,Black Muscat,Red
415,Koshu,White
416,Királyleányka,White
417,Favorita,White
418,Xinomavro,Red
419,Cserszegi Fűszeres,White
420,Hárslevelü,White
421,Pallagrello,Red
